date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:29:42	149/149	U-----	200	untouched ('OK')	text/plain	date:Mon,%2004%20Mar%202024%2013:04:43%20GMT	https://www.tourismexperience.org/robots.txt		(from )
15:29:42	85108/85108	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2013:29:28%20GMT	https://www.tourismexperience.org/?sc_lang=fr-FR	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/index34c5.html	(from )
15:29:42	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2004%20Mar%202024%2013:29:28%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/EU%20Experience/EU%20Experience/www.googletagmanager.com/gtm.15445.delayed	(from )
15:29:43	268/268	---MC-	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2013:29:28%20GMT	https://www.googletagmanager.com/ns.html?id=GTM-TDT8N6M	D:/EU%20Experience/EU%20Experience/www.googletagmanager.com/nscc23.html	(from )
15:29:43	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Mar%202024%2013:29:29%20GMT	https://www.googletagmanager.com/robots.txt		(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Mar%202024%2013:29:29%20GMT	http://www.w3.org/2000/svg	D:/EU%20Experience/EU%20Experience/www.w3.org/2000/svg.e.delayed	(from )
15:29:44	131/131	---M--	200	added ('OK')	text/plain	date:Mon,%2004%20Mar%202024%2013:29:30%20GMT	https://www.compiegne-pierrefonds.fr/robots.txt		(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:45	84440/84440	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2013:29:30%20GMT	https://www.tourismexperience.org/?sc_lang=en	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/indexfcc3.html	(from )
15:29:45	2203/2203	U-----	200	untouched ('OK')	application/x-javascript	etag:%2204243e1459ad51:0%22	https://www.tourismexperience.org/layouts/system/VisitorIdentification.js	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/layouts/system/VisitorIdentification.js	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:46	1150/1150	U-----	200	untouched ('OK')	image/x-icon	etag:%2207c38b19a69da1:0%22	https://www.tourismexperience.org/content/sites/euexperience/img/favicon.ico	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/content/sites/euexperience/img/favicon.ico	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:46	155764/155764	U-----	200	untouched ('OK')	text/css	etag:%2207c38b19a69da1:0%22	https://www.tourismexperience.org/content/sites/euexperience/vendor/Bootstrap/css/bootstrap.min.css	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/content/sites/euexperience/vendor/Bootstrap/css/bootstrap.min.css	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:46	7342/7342	U-----	200	untouched ('OK')	text/css	etag:%2207c38b19a69da1:0%22	https://www.tourismexperience.org/content/sites/euexperience/vendor/Fonts/css/fonts.css	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/content/sites/euexperience/vendor/Fonts/css/fonts.css	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:47	1370/1370	U-----	200	untouched ('OK')	text/css	etag:%2207c38b19a69da1:0%22	https://www.tourismexperience.org/content/sites/euexperience/vendor/Slick/css/slick.min.css	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/content/sites/euexperience/vendor/Slick/css/slick.min.css	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:47	83753/83753	U-----	200	untouched ('OK')	text/css	etag:%2206e3edb9b69da1:0%22	https://www.tourismexperience.org/content/sites/euexperience/css/styles.css	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/content/sites/euexperience/css/styles.css	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:48	23679/23679	U--M--	200	updated ('OK')	text/html	date:Mon,%2004%20Mar%202024%2013:29:33%20GMT	https://www.tourismexperience.org/experiential-tourism	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/experiential-tourism.html	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:48	31912/31912	U--M--	200	updated ('OK')	text/html	date:Mon,%2004%20Mar%202024%2013:29:33%20GMT	https://www.tourismexperience.org/resources-hub	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/resources-hub.html	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:48	81901/81901	U--M--	200	updated ('OK')	text/html	date:Mon,%2004%20Mar%202024%2013:29:34%20GMT	https://www.tourismexperience.org/regions	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/regions.html	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:49	27314/27314	U--M--	200	updated ('OK')	text/html	date:Mon,%2004%20Mar%202024%2013:29:34%20GMT	https://www.tourismexperience.org/about-experience	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/about-experience.html	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:49	84440/84440	U--M--	200	updated ('OK')	text/html	date:Mon,%2004%20Mar%202024%2013:29:34%20GMT	https://www.tourismexperience.org/	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/index.html	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:49	6173/6173	U-----	200	untouched ('OK')	image/png	date:Thu,%2004%20Mar%202021%2013:39:00%20GMT	https://www.tourismexperience.org/-/media/eu-experience/separate-en-fr-images/logos/explogo.png	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/-/media/eu-experience/separate-en-fr-images/logos/explogo.png	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:50	20892/20892	U--M--	200	updated ('OK')	text/html	date:Mon,%2004%20Mar%202024%2013:29:35%20GMT	https://www.tourismexperience.org/search	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/search.html	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:50	19866/19866	U-----	200	untouched ('OK')	image/png	etag:%2207c38b19a69da1:0%22	https://www.tourismexperience.org/Content/Sites/euexperience/img/uk-flag.png	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/Content/Sites/euexperience/img/uk-flag.png	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:51	377/377	U-----	200	untouched ('OK')	image/png	etag:%2207c38b19a69da1:0%22	https://www.tourismexperience.org/Content/Sites/euexperience/img/france-flag.png	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/Content/Sites/euexperience/img/france-flag.png	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:51	107882/107882	U--M--	200	updated ('OK')	text/html	date:Mon,%2004%20Mar%202024%2013:29:37%20GMT	https://www.tourismexperience.org/news	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/news.html	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:52	39931/39931	U--M--	200	updated ('OK')	text/html	date:Mon,%2004%20Mar%202024%2013:29:37%20GMT	https://www.tourismexperience.org/partners	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/partners.html	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:52	88677/88677	U--M--	200	updated ('OK')	text/html	date:Mon,%2004%20Mar%202024%2013:29:37%20GMT	https://www.tourismexperience.org/contact	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/contact.html	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:52	338787/338787	U-----	200	untouched ('OK')	image/jpeg	date:Fri,%2027%20Jan%202023%2011:57:36%20GMT	https://www.tourismexperience.org/-/media/eu-experience/unversioned-images/adobe-stock-images/stage-unversioned/stage-image-1920x980.jpg	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/-/media/eu-experience/unversioned-images/adobe-stock-images/stage-unversioned/stage-image-1920x980.jpg	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:53	9617/9617	U-----	200	untouched ('OK')	image/jpeg	date:Mon,%2029%20Mar%202021%2012:26:30%20GMT	https://www.tourismexperience.org/-/media/eu-experience/unversioned-images/adobe-stock-images/backgrounds/boots-bg.jpg	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/-/media/eu-experience/unversioned-images/adobe-stock-images/backgrounds/boots-bg.jpg	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:53	33189/33189	U-----	200	untouched ('OK')	image/jpeg	date:Tue,%2016%20Mar%202021%2015:45:24%20GMT	https://www.tourismexperience.org/-/media/eu-experience/unversioned-images/regions/brittany/pp8-mxt/brittany-carantec2020alamoureuxmg0433720x480jpg.jpg	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/-/media/eu-experience/unversioned-images/regions/brittany/pp8-mxt/brittany-carantec2020alamoureuxmg0433720x480jpg.jpg	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:54	71285/71285	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2013:29:40%20GMT	https://www.compiegne-pierrefonds.fr/experiences/	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/experiences/index.html	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:55	877155/877155	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Nov%202022%2008:18:48%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/uploads/2022/11/compiegne-pierrefonds-scaled.jpg	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/uploads/2022/11/compiegne-pierrefonds-scaled.jpg	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:55	693/693	---M--	200	added ('OK')	text/css	date:Mon,%2007%20Nov%202022%2013:08:41%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/plugins/gtranslate/gtranslate-style24.css?ver=5.9.3	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/plugins/gtranslate/gtranslate-style247404.css	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:55	706/706	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202022%2008:37:10%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/uploads/2022/09/compiegne-favicon-16x16.png	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/uploads/2022/09/compiegne-favicon-16x16.png	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
15:29:55	1635/1635	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202022%2008:37:10%20GMT	https://www.compiegne-pierrefonds.fr/wp-content/uploads/2022/09/compiegne-favicon-32x32.png	D:/EU%20Experience/EU%20Experience/www.compiegne-pierrefonds.fr/wp-content/uploads/2022/09/compiegne-favicon-32x32.png	(from https://www.tourismexperience.org/?sc_lang=fr-FR)
