date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:04:57	149/149	---M--	200	added ('OK')	text/plain	date:Mon,%2004%20Mar%202024%2013:04:43%20GMT	https://www.tourismexperience.org/robots.txt		(from )
15:04:58	84440/84440	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2013:04:44%20GMT	https://www.tourismexperience.org/	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/index.html	(from )
15:04:58	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2004%20Mar%202024%2013:04:44%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/EU%20Experience/EU%20Experience/www.googletagmanager.com/gtm.05445.delayed	(from )
15:04:59	2203/2203	---M--	200	added ('OK')	application/x-javascript	etag:%2204243e1459ad51:0%22	https://www.tourismexperience.org/layouts/system/VisitorIdentification.js	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/layouts/system/VisitorIdentification.js	(from )
15:04:59	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2207c38b19a69da1:0%22	https://www.tourismexperience.org/content/sites/euexperience/img/favicon.ico	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/content/sites/euexperience/img/favicon.ico	(from )
15:05:00	155764/155764	---M--	200	added ('OK')	text/css	etag:%2207c38b19a69da1:0%22	https://www.tourismexperience.org/content/sites/euexperience/vendor/Bootstrap/css/bootstrap.min.css	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/content/sites/euexperience/vendor/Bootstrap/css/bootstrap.min.css	(from )
15:05:00	7342/7342	---M--	200	added ('OK')	text/css	etag:%2207c38b19a69da1:0%22	https://www.tourismexperience.org/content/sites/euexperience/vendor/Fonts/css/fonts.css	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/content/sites/euexperience/vendor/Fonts/css/fonts.css	(from )
15:05:00	1370/1370	---M--	200	added ('OK')	text/css	etag:%2207c38b19a69da1:0%22	https://www.tourismexperience.org/content/sites/euexperience/vendor/Slick/css/slick.min.css	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/content/sites/euexperience/vendor/Slick/css/slick.min.css	(from )
15:05:00	83753/83753	---M--	200	added ('OK')	text/css	etag:%2206e3edb9b69da1:0%22	https://www.tourismexperience.org/content/sites/euexperience/css/styles.css	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/content/sites/euexperience/css/styles.css	(from )
15:05:01	23679/23679	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2013:04:46%20GMT	https://www.tourismexperience.org/experiential-tourism	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/experiential-tourism.html	(from )
15:05:01	31912/31912	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2013:04:46%20GMT	https://www.tourismexperience.org/resources-hub	D:/EU%20Experience/EU%20Experience/www.tourismexperience.org/resources-hub.html	(from )
